log_timestamp,date_read,log_value,library
6/4/2016 18:04,6/4/2016,1,Main (Oakland)
6/4/2016 18:05,6/4/2016,1,Main (Oakland)
6/4/2016 18:06,6/4/2016,1,Main (Oakland)
6/4/2016 18:09,6/3/2016,1,East Liberty
6/4/2016 18:10,6/4/2016,1,East Liberty
6/4/2016 18:13,6/4/2016,1,East Liberty
6/4/2016 18:13,6/4/2016,1,East Liberty
6/4/2016 18:27,6/4/2016,1,East Liberty
6/4/2016 18:29,6/3/2016,2,East Liberty
6/4/2016 18:51,6/2/2016,1,Main (Oakland)
6/4/2016 18:52,6/4/2016,1,Main (Oakland)
6/4/2016 18:52,6/4/2016,1,Main (Oakland)
6/4/2016 18:53,6/4/2016,1,Main (Oakland)
6/4/2016 18:53,6/4/2016,1,Main (Oakland)
6/4/2016 18:53,6/4/2016,1,Main (Oakland)
6/4/2016 18:53,6/4/2016,1,Main (Oakland)
6/4/2016 19:52,6/4/2016,1,East Liberty
6/4/2016 19:59,6/4/2016,1,Main (Oakland)
6/4/2016 20:00,6/4/2016,1,Main (Oakland)
6/4/2016 20:00,6/4/2016,1,Main (Oakland)
6/4/2016 20:00,6/4/2016,1,Main (Oakland)
6/4/2016 20:00,6/4/2016,1,Main (Oakland)
6/4/2016 20:01,6/4/2016,1,Squirrel Hill
6/4/2016 20:01,6/4/2016,1,Main (Oakland)
6/4/2016 20:01,6/4/2016,1,Main (Oakland)
6/4/2016 20:02,6/4/2016,1,Main (Oakland)
6/4/2016 20:02,6/4/2016,1,Main (Oakland)
6/4/2016 20:02,6/4/2016,1,Main (Oakland)
6/4/2016 20:03,6/4/2016,1,Main (Oakland)
6/4/2016 20:06,6/4/2016,1,East Liberty
6/4/2016 20:07,6/4/2016,1,East Liberty
6/4/2016 20:07,6/4/2016,1,East Liberty
6/4/2016 20:08,6/4/2016,1,East Liberty
6/4/2016 20:16,6/4/2016,1,East Liberty
6/4/2016 20:18,6/4/2016,1,Main (Oakland)
6/4/2016 20:20,6/4/2016,1,Main (Oakland)
6/4/2016 20:30,6/4/2016,1,Main (Oakland)
6/4/2016 20:31,6/4/2016,1,Main (Oakland)
6/4/2016 20:32,6/4/2016,1,Main (Oakland)
6/4/2016 20:33,6/4/2016,1,Main (Oakland)
6/4/2016 20:39,6/3/2016,2,Main (Oakland)
6/4/2016 20:43,6/4/2016,1,East Liberty
6/4/2016 21:31,6/4/2016,1,Squirrel Hill
6/4/2016 21:39,6/4/2016,1,Squirrel Hill
6/4/2016 21:39,6/4/2016,1,Squirrel Hill
6/4/2016 21:39,6/4/2016,1,Squirrel Hill
6/4/2016 21:40,6/4/2016,1,Squirrel Hill
6/4/2016 21:40,6/4/2016,1,Squirrel Hill
6/4/2016 21:40,6/4/2016,1,Squirrel Hill
6/4/2016 21:40,6/4/2016,1,Squirrel Hill
6/4/2016 21:40,6/4/2016,1,Squirrel Hill
6/4/2016 21:40,6/4/2016,1,Squirrel Hill
6/4/2016 21:41,6/4/2016,1,Squirrel Hill
6/4/2016 21:41,6/4/2016,1,Squirrel Hill
6/4/2016 21:41,6/4/2016,1,Squirrel Hill
6/4/2016 21:41,6/4/2016,1,Squirrel Hill
6/4/2016 21:41,6/4/2016,1,Squirrel Hill
6/4/2016 21:41,6/4/2016,1,Squirrel Hill
6/4/2016 21:58,6/4/2016,1,Squirrel Hill
6/4/2016 21:59,6/4/2016,1,Squirrel Hill
6/4/2016 22:38,6/4/2016,1,West End
6/5/2016 0:20,6/4/2016,1,East Liberty
6/5/2016 0:21,6/4/2016,1,East Liberty
6/5/2016 0:24,6/4/2016,1,East Liberty
6/5/2016 0:44,6/4/2016,1,Squirrel Hill
6/5/2016 1:05,6/4/2016,1,East Liberty
6/5/2016 1:42,6/4/2016,3,Main (Oakland)
6/5/2016 1:43,6/4/2016,1,Main (Oakland)
6/5/2016 1:44,6/4/2016,1,Main (Oakland)
6/5/2016 1:46,6/4/2016,2,Main (Oakland)
6/5/2016 1:47,6/4/2016,1,Main (Oakland)
6/5/2016 1:47,6/4/2016,1,Main (Oakland)
6/5/2016 2:09,6/4/2016,1,East Liberty
6/5/2016 2:10,6/3/2016,1,East Liberty
6/5/2016 2:10,6/3/2016,1,East Liberty
6/5/2016 3:45,6/4/2016,1,Squirrel Hill
6/5/2016 4:25,6/5/2016,1,Squirrel Hill
6/5/2016 4:29,6/5/2016,1,East Liberty
6/5/2016 5:56,5/23/2016,1,Main (Oakland)
6/5/2016 5:56,6/1/2016,1,Main (Oakland)
6/5/2016 5:56,6/5/2016,1,Main (Oakland)
6/5/2016 11:46,6/4/2016,1,Main (Oakland)
6/5/2016 11:49,6/4/2016,1,Main (Oakland)
6/5/2016 11:50,6/4/2016,1,Main (Oakland)
6/5/2016 11:56,6/4/2016,1,Main (Oakland)
6/5/2016 12:27,6/4/2016,5,Main (Oakland)
6/5/2016 12:52,6/3/2016,2,East Liberty
6/5/2016 12:54,6/4/2016,1,East Liberty
6/5/2016 12:54,6/4/2016,2,East Liberty
6/5/2016 13:03,6/5/2016,1,East Liberty
6/5/2016 13:04,6/5/2016,1,East Liberty
6/5/2016 13:12,6/5/2016,1,Squirrel Hill
